iter	Passed	Remaining
468	692	784
469	693	781
470	694	779
471	695	777
472	696	775
473	697	773
474	698	771
475	698	769
476	699	767
477	700	765
478	701	762
479	702	760
480	703	758
481	703	756
482	704	754
483	705	752
484	706	750
485	707	748
486	708	746
487	709	744
488	710	742
489	711	740
490	712	738
491	713	736
492	714	734
493	714	732
494	715	730
495	716	728
496	717	726
497	718	723
498	718	721
499	719	719
500	720	717
501	721	715
502	722	713
503	723	711
504	723	709
505	724	707
506	725	705
507	727	704
508	728	702
509	728	700
510	729	698
511	730	696
512	731	694
513	732	692
514	733	690
515	733	688
516	734	686
517	735	684
518	736	682
519	737	680
520	738	678
521	738	676
522	739	674
523	740	672
524	742	671
525	743	669
526	743	667
527	744	665
528	745	663
529	746	661
530	747	659
531	748	658
532	748	656
533	749	654
534	750	652
535	751	650
536	752	648
537	753	647
538	754	645
539	755	643
540	757	642
541	758	640
542	759	638
543	760	637
544	760	635
545	761	633
546	762	631
547	763	629
548	764	627
549	765	626
550	766	624
551	767	622
552	767	620
553	768	618
554	769	617
555	770	615
556	771	613
557	772	612
558	773	610
559	774	608
560	775	607
561	776	605
562	777	603
563	778	601
564	779	599
565	780	598
566	781	596
567	782	594
568	783	593
569	784	591
570	784	589
571	785	587
572	786	586
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	791	575
579	792	574
580	793	572
581	794	570
582	795	569
583	796	567
584	797	565
585	798	563
586	798	562
587	799	560
588	800	558
589	801	556
590	803	555
591	803	554
592	804	552
593	805	550
594	806	548
595	807	547
596	808	545
597	809	543
598	810	542
599	811	540
600	811	539
601	812	537
602	813	535
603	814	533
604	815	532
605	816	530
606	816	528
607	818	527
608	819	525
609	819	524
610	820	522
611	821	520
612	822	519
613	823	517
614	824	516
615	825	514
616	826	512
617	826	511
618	827	509
619	828	507
620	829	506
621	830	504
622	831	502
623	831	501
624	832	499
625	834	498
626	835	496
627	835	495
628	836	493
629	837	491
630	838	490
631	839	488
632	840	487
633	841	485
634	841	483
635	843	482
636	844	480
637	844	479
638	845	477
639	846	476
640	848	474
641	849	473
642	850	472
643	851	470
644	852	469
645	853	467
646	854	465
647	855	464
648	856	462
649	856	461
650	857	459
651	858	458
652	859	456
653	860	455
654	861	453
655	862	452
656	864	451
657	865	449
658	866	448
659	867	446
660	868	445
661	869	444
662	870	442
663	871	440
664	872	439
665	873	437
666	874	436
667	874	434
668	875	433
669	876	431
670	877	430
671	878	428
672	879	427
673	880	425
674	881	424
675	882	422
676	883	421
677	884	420
678	885	418
679	886	416
680	886	415
681	887	413
682	888	412
683	889	410
684	890	409
685	891	407
686	891	406
687	892	404
688	894	403
689	895	402
690	895	400
691	896	399
692	897	397
693	898	396
694	899	394
695	900	393
696	901	391
697	902	390
698	902	388
699	903	387
700	904	385
701	905	384
702	906	382
703	907	381
704	907	379
705	909	378
706	910	377
707	910	375
708	911	374
709	912	372
710	913	371
711	914	369
712	915	368
713	916	367
714	917	365
715	918	364
716	918	362
717	919	361
718	920	359
719	921	358
720	922	356
721	923	355
722	924	354
723	925	352
724	926	351
725	927	349
726	928	348
727	929	347
728	929	345
729	930	344
730	931	342
731	932	341
732	933	339
733	933	338
734	934	337
735	935	335
736	936	334
737	937	332
738	938	331
739	939	329
740	940	328
741	941	327
742	942	325
743	943	324
744	943	323
745	944	321
746	945	320
747	946	318
748	947	317
749	948	316
750	949	314
751	949	313
752	950	311
753	951	310
754	952	309
755	953	307
756	954	306
757	955	305
758	956	303
759	957	302
760	958	301
761	959	299
762	960	298
763	961	296
764	962	295
765	962	294
766	963	292
767	964	291
768	965	289
769	966	288
770	967	287
771	967	285
772	968	284
773	969	283
774	970	281
775	971	280
776	972	279
777	973	277
778	974	276
779	975	275
780	975	273
781	976	272
782	977	270
783	978	269
784	979	268
785	980	266
786	981	265
787	981	264
788	982	262
789	983	261
790	984	260
791	985	258
792	986	257
793	987	256
794	988	254
795	989	253
796	990	252
797	990	250
798	991	249
799	992	248
800	993	246
801	994	245
802	995	244
803	995	242
804	996	241
805	997	240
806	998	238
807	999	237
808	1000	236
809	1001	235
810	1003	233
811	1004	232
812	1005	231
813	1006	229
814	1007	228
815	1008	227
816	1009	226
817	1010	224
818	1011	223
819	1012	222
820	1012	220
821	1013	219
822	1014	218
823	1015	216
824	1016	215
825	1017	214
826	1018	213
827	1019	211
828	1020	210
829	1021	209
830	1022	207
831	1022	206
832	1023	205
833	1024	203
834	1025	202
835	1026	201
836	1027	200
837	1027	198
